size, threshold, loops, keycomps, time, stddev
1, 0, 2097152, 0, 7.654650163651577e-08, 4.78850638072269e-08
1, 1, 2097152, 0, 7.65603733063019e-08, 5.8593912090067204e-08
2, 0, 2097152, 1, 1.1308188152328028e-07, 6.171742992126348e-08
2, 1, 2097152, 1, 1.1231343841569044e-07, 6.162360657378309e-08
2, 2, 2097152, 1, 9.093317413346514e-08, 5.49641430311896e-08
4, 0, 2097152, 5, 1.9870547008528022e-07, 8.16479642825485e-08
4, 1, 2097152, 5, 1.9865920543682464e-07, 7.813486887081279e-08
4, 2, 2097152, 5, 1.6458083915689918e-07, 6.871298800355781e-08
4, 4, 2097152, 6, 1.2169427299493076e-07, 6.741431203710713e-08
8, 0, 2097152, 14, 3.568949360846375e-07, 9.792590245135992e-08
8, 1, 2097152, 14, 3.5703169631938005e-07, 1.0676160938935117e-07
8, 2, 2097152, 14, 3.0540949106210603e-07, 9.273946106063619e-08
8, 4, 2097152, 17, 2.610991168024681e-07, 9.306016288663451e-08
8, 8, 2097152, 28, 2.4390401411057354e-07, 9.433365624364434e-08
16, 0, 2097152, 45, 7.770868859287675e-07, 1.5759853438005334e-07
16, 1, 2097152, 45, 7.751602969166491e-07, 1.515573401727444e-07
16, 2, 2097152, 45, 6.961472654344124e-07, 1.4579792826280375e-07
16, 4, 2097152, 50, 6.084249167437897e-07, 1.4885692977418634e-07
16, 8, 2097152, 71, 5.793102626803344e-07, 1.3127576035922667e-07
16, 16, 2097152, 120, 6.98582342147327e-07, 1.4758546307886056e-07
32, 0, 1048576, 122, 1.766160767555354e-06, 2.1908183990763487e-07
32, 1, 1048576, 122, 1.7671283502579767e-06, 2.340386342999046e-07
32, 2, 1048576, 122, 1.6203916730879427e-06, 2.2847715949606313e-07
32, 4, 1048576, 132, 1.4298646535874288e-06, 2.0997402808843378e-07
32, 8, 1048576, 171, 1.3801605072023133e-06, 2.0014592834203482e-07
32, 16, 1048576, 269, 1.6351526985176862e-06, 2.1458156847400536e-07
32, 32, 1048576, 496, 2.8521835145949624e-06, 2.6124104945406527e-07
64, 0, 1048576, 307, 4.073339149475012e-06, 3.276208917004804e-07
64, 1, 1048576, 307, 4.075313649177463e-06, 3.3950400009845603e-07
64, 2, 1048576, 307, 3.7244954109191143e-06, 3.4439621282815667e-07
64, 4, 1048576, 326, 3.4154737176896593e-06, 2.848949956983786e-07
64, 8, 1048576, 405, 3.2938199834822488e-06, 2.914359116116127e-07
64, 16, 1048576, 601, 4.007712774276629e-06, 3.3905093228644976e-07
64, 32, 1048576, 1053, 6.449289888381959e-06, 3.7602923674315674e-07
64, 64, 1048576, 2016, 1.0822039720535493e-05, 4.41437040873274e-07
128, 0, 1048576, 747, 1.001802993965149e-05, 6.074495921160918e-07
128, 1, 1048576, 747, 9.989344765663198e-06, 5.002734795163465e-07
128, 2, 1048576, 747, 9.20139034080527e-06, 4.866073818741372e-07
128, 4, 1048576, 786, 8.393886274337891e-06, 5.116886114574575e-07
128, 8, 1048576, 940, 8.531529558181643e-06, 5.077605966423276e-07
128, 16, 1048576, 1332, 1.029726153755203e-05, 4.698143386195128e-07
128, 32, 1048576, 2235, 1.5023417112350629e-05, 5.354348061644649e-07
128, 64, 1048576, 4159, 2.3452377906799548e-05, 6.46012000702013e-07
128, 128, 1048576, 8128, 4.0437250638961015e-05, 7.930263261379589e-07
256, 64, 131072, 8573, 5.168423330688468e-05, 1.0419796157241577e-06
256, 128, 131072, 16511, 8.541966222381614e-05, 1.5932477159707512e-06
512, 0, 32768, 3973, 8.059548062133792e-05, 2.231263622437998e-06
256, 0, 131072, 1738, 2.8587152175903263e-05, 9.747421361031137e-07
256, 1, 131072, 1738, 2.8612014251708967e-05, 9.039546539504586e-07
256, 2, 131072, 1738, 2.6896284141540478e-05, 8.453162391712968e-07
256, 4, 131072, 1818, 2.5107701004028312e-05, 8.679704456704698e-07
256, 8, 131072, 2126, 2.617309703826903e-05, 7.929992281730459e-07
256, 16, 131072, 2916, 2.926157333374019e-05, 7.431210674264182e-07
256, 32, 131072, 4722, 3.64998832550048e-05, 9.221725701704314e-07
