size, threshold, loops, keycomps, time, stddev
1, 0, 2097152, 0, 8.176071548457512e-08, 5.257433119452789e-08
1, 1, 2097152, 0, 8.175460243217531e-08, 4.997198098313317e-08
2, 0, 2097152, 1, 1.2693732690809173e-07, 5.795503142561275e-08
2, 1, 2097152, 1, 1.2701094579692784e-07, 7.319490504130613e-08
2, 2, 2097152, 1, 9.565554809569345e-08, 6.021662057791932e-08
4, 0, 2097152, 5, 2.3597218132079556e-07, 8.837914734175457e-08
4, 1, 2097152, 5, 2.360193009382473e-07, 9.249270244560436e-08
4, 2, 2097152, 5, 1.7303899717325056e-07, 7.567010401368318e-08
4, 4, 2097152, 6, 1.260155711174987e-07, 6.227832344873658e-08
8, 0, 2097152, 14, 4.195546498301275e-07, 1.1618425918913136e-07
8, 1, 2097152, 14, 4.192153530123194e-07, 1.1761927765375215e-07
8, 2, 2097152, 14, 3.181570725441528e-07, 1.0607174139248709e-07
8, 4, 2097152, 17, 2.565291876790481e-07, 9.376080624824459e-08
8, 8, 2097152, 28, 2.523426160811554e-07, 9.290299853096769e-08
16, 0, 2097152, 45, 8.438623685841477e-07, 1.7155573682976515e-07
16, 1, 2097152, 45, 8.419839420324083e-07, 1.6382949531503384e-07
16, 2, 2097152, 45, 6.926301159856042e-07, 1.494509638397032e-07
16, 4, 2097152, 50, 5.614140791895346e-07, 1.3818236749020303e-07
16, 8, 2097152, 71, 5.563094339370969e-07, 1.257177686545218e-07
16, 16, 2097152, 120, 7.497908577928272e-07, 1.5840585080692968e-07
32, 0, 1048576, 122, 1.7362146930694066e-06, 2.2488046057612964e-07
32, 1, 1048576, 122, 1.74272758483879e-06, 2.2052518284829944e-07
32, 2, 1048576, 122, 1.4667969493864943e-06, 2.0465953853093574e-07
32, 4, 1048576, 132, 1.2207899789810205e-06, 2.0579806990744822e-07
32, 8, 1048576, 171, 1.2390800075529066e-06, 2.048876521684057e-07
32, 16, 1048576, 269, 1.6031624793995437e-06, 2.209372731931371e-07
32, 32, 1048576, 496, 2.905717745780924e-06, 2.7269110878973496e-07
64, 0, 1048576, 307, 3.7436746759414466e-06, 3.225643151400612e-07
64, 1, 1048576, 307, 3.7346987819672415e-06, 3.1285451857443946e-07
64, 2, 1048576, 307, 3.1574898252487284e-06, 2.975350369421564e-07
64, 4, 1048576, 326, 2.7025018978118993e-06, 2.98205478214562e-07
64, 8, 1048576, 405, 2.7644268865586424e-06, 2.963499949706558e-07
64, 16, 1048576, 601, 3.688395944595332e-06, 2.9010298087049395e-07
64, 32, 1048576, 1053, 6.337991250037942e-06, 3.8769259491162915e-07
64, 64, 1048576, 2016, 1.1115484175682341e-05, 4.15962684058482e-07
128, 0, 1048576, 747, 8.764832383155942e-06, 4.5606007784625e-07
128, 1, 1048576, 747, 8.75861270523085e-06, 5.264386154217266e-07
128, 2, 1048576, 747, 7.4816844444275075e-06, 4.7027986568628186e-07
128, 4, 1048576, 786, 6.35838357543935e-06, 7.581644186567981e-07
128, 8, 1048576, 940, 6.739274315834024e-06, 4.692674425448717e-07
128, 16, 1048576, 1332, 9.008862998962347e-06, 4.278857932389607e-07
128, 32, 1048576, 2235, 1.3981576955795338e-05, 4.925620922990861e-07
128, 64, 1048576, 4159, 2.3225345447540292e-05, 5.856779622676913e-07
128, 128, 1048576, 8128, 4.2058797853469527e-05, 7.338179403442482e-07
256, 0, 262144, 1738, 2.3208512340545754e-05, 1.4409855496285531e-06
256, 1, 262144, 1738, 2.3247275489807137e-05, 1.5159830116549524e-06
256, 0, 131072, 1738, 2.3280926712036123e-05, 1.6140075785766824e-06
256, 1, 131072, 1738, 2.3061646110534613e-05, 7.592457376657885e-07
256, 2, 131072, 1738, 2.045748850250235e-05, 8.588713826121353e-07
256, 4, 131072, 1818, 1.835149423217772e-05, 1.183549422897739e-06
256, 8, 131072, 2126, 1.929219824981693e-05, 7.621004035488576e-07
256, 16, 131072, 2916, 2.385649826049804e-05, 1.2104424195188948e-06
256, 32, 131072, 4722, 3.399524649047851e-05, 7.564056151424878e-07
256, 64, 131072, 8573, 4.9393478660583534e-05, 8.93448135603564e-07
256, 128, 131072, 16511, 8.664301637268041e-05, 1.1251056443166209e-06
256, 256, 131072, 32640, 0.00016440263433837882, 1.7085867774530674e-06
256, 2, 262144, 1738, 2.0512908428192116e-05, 1.2202971148797895e-06
256, 4, 262144, 1818, 1.8272921268463095e-05, 1.0479457298968448e-06
256, 8, 262144, 2126, 1.9431933063507125e-05, 8.422435894923827e-07
256, 16, 262144, 2916, 2.3831313465118326e-05, 1.0952713708661882e-06
256, 32, 262144, 4722, 3.3948687313079844e-05, 8.387664393115824e-07
256, 64, 262144, 8573, 4.9317387695312434e-05, 8.694620074964593e-07
256, 128, 262144, 16511, 8.669477352905297e-05, 1.1592204806381635e-06
256, 256, 262144, 32640, 0.00016440357828521751, 1.797770767180172e-06
512, 0, 262144, 3973, 6.187616129302978e-05, 1.3291220641293234e-06
512, 1, 262144, 3973, 6.166274863815305e-05, 1.3233126502923789e-06
512, 2, 262144, 3973, 5.638897208404533e-05, 1.078197499033514e-06
512, 4, 262144, 4137, 5.203902513122563e-05, 9.548930153546412e-07
512, 8, 262144, 4748, 5.3867855365753146e-05, 1.0337336150495747e-06
512, 16, 262144, 6335, 6.012341193389904e-05, 1.0685426712054486e-06
512, 32, 262144, 9948, 7.585738463211056e-05, 1.1681361502483868e-06
512, 64, 262144, 17645, 0.00011530271553039547, 1.4324905938334636e-06
512, 128, 262144, 33533, 0.00018246798259735072, 2.3724551829845144e-06
512, 256, 262144, 65791, 0.0003318404626655558, 2.4849701610076055e-06
512, 512, 262144, 130816, 0.0006413488262100186, 3.1609498951838052e-06
1024, 0, 131072, 8962, 0.00014772442429351784, 1.7725577077224153e-06
1024, 1, 131072, 8962, 0.0001477183560562133, 1.691160311528885e-06
1024, 2, 131072, 8962, 0.00013684015076446512, 1.5615432655408904e-06
1024, 4, 131072, 9298, 0.00012827874963378908, 1.4902251196594085e-06
1024, 8, 131072, 10522, 0.00013098120072937026, 1.6102299755999738e-06
1024, 16, 131072, 13700, 0.00014219813728332494, 1.6457552778918275e-06
1024, 32, 131072, 20926, 0.00017184685750579854, 1.6770450582616512e-06
1024, 64, 131072, 36316, 0.0002363925939712527, 1.9204357999936863e-06
1024, 128, 131072, 68086, 0.00040588953965759204, 2.609629753702802e-06
1024, 256, 131072, 132602, 0.0006827052274169922, 5.161580902396025e-06
1024, 512, 131072, 262654, 0.0012949454529571527, 4.257296984020451e-06
1024, 1024, 131072, 523776, 0.0025409727189636237, 8.706099589141292e-06
2048, 2048, 32768, 2096128, 0.010148052099945064, 4.84455121624173e-05
4096, 0, 8192, 44037, 0.0007298377791748043, 5.361546599344836e-06
4096, 1, 8192, 44037, 0.0007294897055664066, 5.4370962690416324e-06
4096, 2, 8192, 44037, 0.000689206381713867, 5.167674945655989e-06
2048, 0, 32768, 19958, 0.00033239263153076154, 4.459575902385369e-06
2048, 1, 32768, 19958, 0.00033279038644409224, 2.67124815392243e-06
2048, 2, 32768, 19958, 0.0003117792176513671, 2.5020700046983636e-06
2048, 4, 32768, 20652, 0.00029525889321899417, 2.392247096242509e-06
2048, 8, 32768, 23098, 0.00029671481741333017, 2.4949451451196974e-06
2048, 16, 32768, 29456, 0.0003173774802551272, 2.370680002737907e-06
2048, 32, 32768, 43900, 0.0003743353082580566, 2.4820510513545683e-06
2048, 64, 32768, 74687, 0.00050473348815918, 2.9496043796588794e-06
2048, 128, 32768, 138213, 0.000794098495758056, 4.387078020325804e-06
2048, 256, 32768, 267250, 0.0014867895115356447, 4.866163825404128e-06
2048, 512, 32768, 527354, 0.0026263656571960466, 9.97795582658682e-06
2048, 1024, 32768, 1049597, 0.005154986030792238, 4.26973231462823e-05
4096, 4, 8192, 45414, 0.0006560518957519535, 4.977253232488918e-06
4096, 8, 8192, 50301, 0.0006558994896240231, 6.188135600298468e-06
4096, 16, 8192, 63008, 0.0006943598425292968, 7.762915989079467e-06
4096, 32, 8192, 91905, 0.0008065603043212891, 4.047592369970995e-06
4096, 64, 8192, 153479, 0.0010702079417724613, 9.69071370335961e-06
4096, 128, 8192, 280524, 0.001646838535400391, 9.854935891988406e-06
4096, 256, 8192, 538600, 0.0028461494187011723, 2.664045804255453e-05
4096, 512, 8192, 1058805, 0.00568317757788086, 4.819128085122447e-05
4096, 1024, 8192, 2103290, 0.010282766706787112, 5.079251482621813e-05
4096, 2048, 8192, 4196350, 0.02038822008349609, 0.00026776204615234773
4096, 4096, 8192, 8386560, 0.040531921169555674, 0.00048462750758718973
8192, 0, 2048, 96159, 0.0015816543979492183, 2.1038578655624225e-05
8192, 1, 2048, 96159, 0.001578465728027344, 1.5665107699242845e-05
8192, 2, 2048, 96159, 0.0014997949355468744, 1.3420693896922274e-05
8192, 4, 2048, 98907, 0.0014324428544921874, 1.587158589341887e-05
8192, 8, 2048, 108733, 0.0014304178984375, 1.1579461158216466e-05
8192, 16, 2048, 134201, 0.0015077163686523436, 1.1247126471741892e-05
8192, 32, 2048, 192014, 0.001733458881835937, 1.766323280842037e-05
8192, 64, 2048, 315139, 0.002254875581054687, 2.104830215131672e-05
8192, 128, 2048, 569223, 0.0034044395283203133, 2.325917614161538e-05
8192, 256, 2048, 1085385, 0.005827213755859375, 4.900347592067049e-05
8192, 512, 2048, 2125796, 0.010778116388671873, 8.360423849125881e-05
8192, 1024, 2048, 4214771, 0.022105615386718756, 0.0001901043946255661
8192, 2048, 2048, 8400889, 0.04093896491064454, 0.0004325647361457127
8192, 4096, 2048, 16781311, 0.08146559514746093, 0.0009890430279833194
8192, 8192, 2048, 33550336, 0.16208624728027343, 0.0012202102300573109
16384, 0, 512, 208675, 0.0034040223046874997, 3.1022304998464366e-05
16384, 1, 512, 208675, 0.0034039442460937503, 2.5567306709041385e-05
16384, 2, 512, 208675, 0.003248739048828125, 3.875686208046803e-05
16384, 4, 512, 214151, 0.0031072531777343753, 1.9430030639988527e-05
16384, 8, 512, 233776, 0.00311816723828125, 3.192777208793127e-05
16384, 16, 512, 284762, 0.0032578088632812495, 1.7685631696984676e-05
16384, 32, 512, 400395, 0.0037012013339843748, 1.879835869078715e-05
16384, 64, 512, 646662, 0.004778171058593751, 0.00015965954899049362
16384, 128, 512, 1154835, 0.0070647326796875005, 6.381074091784456e-05
16384, 256, 512, 2187154, 0.011903238025390627, 7.334636725683359e-05
16384, 512, 512, 4267975, 0.021817788126953123, 0.0003821678782428569
16384, 1024, 512, 8445926, 0.04210192428320312, 0.0005613937205085419
16384, 2048, 512, 16818162, 0.08779989505664063, 0.001010531857066409
16384, 4096, 512, 33579002, 0.16344237718945312, 0.0029571658726540414
16384, 8192, 512, 67117055, 0.3236020751757812, 0.0035522264592042084
16384, 16384, 512, 134209536, 0.6474381974707032, 0.0028025184935665938
32768, 0, 128, 450171, 0.007232973828125, 3.130651561579033e-05
32768, 1, 128, 450171, 0.0072381773515625, 3.2778772415218026e-05
32768, 2, 128, 450171, 0.006959414578125, 0.0002996801818920106
32768, 4, 128, 461156, 0.0066942923203125, 9.502685812603739e-05
32768, 8, 128, 500373, 0.006662050609375, 3.4017358151074766e-05
32768, 16, 128, 602266, 0.0069623609375, 2.765439336449576e-05
32768, 32, 128, 833558, 0.00784828121875, 2.8802268444383428e-05
32768, 64, 128, 1326067, 0.0099130342265625, 4.056864985869889e-05
32768, 128, 128, 2342400, 0.014519108945312501, 3.96472779302748e-05
32768, 256, 128, 4407054, 0.024161463601562502, 3.539740433393592e-05
32768, 512, 128, 8568712, 0.043947754382812496, 7.632295558582825e-05
